site,num_articles
nytimes.com,363879
ft.com,200914
100percentfedup.com,1052
theblaze.com,32719
reuters.com,1835142
thegatewaypundit.com,12066
washingtonexaminer.com,88732
nydailynews.com,169532
thefederalistpapers.org,12597
conservativetribune.com,10674
redstate.com,14761
westernjournalism.com,12748
bloomberg.com,266880
washingtonpost.com,570044
wsj.com,386797
louderwithcrowder.com,254
usatoday.com,405731
slate.com,36095
propublica.org,2647
democracynow.org,3175
latimes.com,180640
economist.com,32540
thenewcivilrightsmovement.com,6730
motherjones.com,11036
thenation.com,6705
cnn.com,252260
mediamatters.org,5675
c-span.org,1262
bbc.com,160493
dailykos.com,17507
azcentral.com,121392
dallasnews.com,69467
allenbwest.com,5921
afp.com,17550
occupydemocrats.com,4001
talkingpointsmemo.com,34777
freedomdaily.com,305
forbes.com,332057
truthfeed.com,4067
usherald.com,197
rawstory.com,53076
rightwingnews.com,21188
seattletimes.com,218840
oppositionreport.com,488
mrctv.org,150
conservative101.com,35
bizpacreview.com,15444
politicususa.com,7462
nj.com,234172
chicagotribune.com,604207
dailycaller.com,64185
thinkprogress.org,16606
youngcons.com,9814
townhall.com,161772
ijr.com,11510
nypost.com,90523
breitbart.com,97624
chron.com,521810
dailywire.com,2617
cbn.com,17442
judicialwatch.org,589
sfchronicle.com,78521
apnews.com,999
